,State,Number_feature,Time_Step,number_layers,kernel_size,MAE,RMSE,R2_Score
390,Karnataka,3,5,3,3,0.16936363279819489,0.18848624723387353,0.3511290081214239
391,Karnataka,3,5,3,4,0.1314268857240677,0.1493806801697588,0.5924434309105022
392,Karnataka,3,5,4,1,0.14399932324886322,0.15584927074405863,0.5563825989195712
393,Karnataka,3,5,4,2,0.13761670887470245,0.14981077547397714,0.5900931475763105
394,Karnataka,3,5,4,3,0.1565372198820114,0.17386961559656253,0.4478635213932737
395,Karnataka,3,5,4,4,0.1824554055929184,0.2014758119542155,0.25861315754535374
396,Karnataka,3,7,2,1,0.07262735068798065,0.08455678851507877,0.864279925711306
397,Karnataka,3,7,2,2,0.15140201151371002,0.16218784455352817,0.5006745676895843
398,Karnataka,3,7,2,3,0.16996197402477264,0.18273634261645377,0.3661347744277865
399,Karnataka,3,7,2,4,0.17528481781482697,0.18954711234439717,0.3180045647619105
400,Karnataka,3,7,3,1,0.19262254238128662,0.20868182341048896,0.17336002435520492
401,Karnataka,3,7,3,2,0.17421381175518036,0.19054843428045315,0.3107799826603904
402,Karnataka,3,7,3,3,0.1635258048772812,0.17830709260068017,0.3964903161918404
403,Karnataka,3,7,3,4,0.16740719974040985,0.18195487085850368,0.37154453419616806
404,Karnataka,3,7,4,1,0.20157627761363983,0.21602565611024596,0.11415497404234454
405,Karnataka,3,7,4,2,0.17723771929740906,0.1897011932005732,0.31689540865340227
406,Karnataka,3,7,4,3,0.19880545139312744,0.2214025117401071,0.06950905169887289
407,Karnataka,3,7,4,4,0.14705055952072144,0.1622434429385193,0.5003321460172748
408,Karnataka,3,15,2,1,0.23542863130569458,0.24208964401304586,-0.3750465731734227
409,Karnataka,3,15,2,2,0.1611655354499817,0.17055234469538552,0.3175350302564244
410,Karnataka,3,15,2,3,0.23825712502002716,0.24890831174792794,-0.45359635459032366
411,Karnataka,3,15,2,4,0.12878626585006714,0.13320688287127072,0.5836886750119588
